Property Group,Property,Purchase Price (LKR),Base Rent (LKR)
Brown,Pettah,"1,500",100
Brown,Maradana,"1,800",120
Light Blue,Bambalapitiya,"2,500",180
Light Blue,Wellawatte,"2,700",200
Light Blue,Mount Lavinia,"3,000",220
Pink,Nugegoda,"3,500",260
Pink,Maharagama,"3,800",280
Pink,Kottawa,"4,000",300
Orange,Negombo,"4,500",350
Orange,Katunayake,"4,700",370
Orange,Ja-Ela,"5,000",400
Red,Kandy City,"5,500",450
Red,Peradeniya,"5,800",480
Red,Katugastota,"6,000",500
Yellow,Galle Fort,"6,500",600
Yellow,Unawatuna,"6,800",620
Yellow,Hikkaduwa,"7,000",650
Green,Jaffna Town,"8,000",750
Green,Nallur,"8,300",780
Green,Trincomalee,"8,500",800
Dark Blue,Nuwara Eliya,"10,000","1,000"
Dark Blue,Galle Face,"12,000","1,200"
